,Name,EngName,Rcode
0,Австралийский доллар,Australian Dollar,R01010    
1,Азербайджанский манат,Azerbaijan Manat,R01020    
2,Фунт стерлингов Соединенного королевства,British Pound Sterling,R01035    
3,Армянский драм,Armenia Dram,R01060    
4,Белорусский рубль,Belarussian Ruble,R01090    
5,Болгарский лев,Bulgarian lev,R01100    
6,Бразильский реал,Brazil Real,R01115    
7,Венгерский форинт,Hungarian Forint,R01135    
8,Гонконгский доллар,Hong Kong Dollar,R01200    
9,Датская крона,Danish Krone,R01215    
10,Доллар США,US Dollar,R01235    
11,Евро,Euro,R01239    
12,Индийская рупия,Indian Rupee,R01270    
13,Казахстанский тенге,Kazakhstan Tenge,R01335    
14,Канадский доллар,Canadian Dollar,R01350    
15,Киргизский сом,Kyrgyzstan Som,R01370    
16,Китайский юань,China Yuan,R01375    
17,Молдавский лей,Moldova Lei,R01500    
18,Норвежская крона,Norwegian Krone,R01535    
19,Польский злотый,Polish Zloty,R01565    
20,СДР (специальные права заимствования),SDR,R01589    
21,Сингапурский доллар,Singapore Dollar,R01625    
22,Турецкая лира,Turkish Lira,R01700    
23,Туркменский манат,Turkmenistan Manat,R01710    
24,Новый туркменский манат,New Turkmenistan Manat,R01710    
25,Узбекский сум,Uzbekistan Sum,R01717    
26,Чешская крона,Czech Koruna,R01760    
27,Шведская крона,Swedish Krona,R01770    
28,Швейцарский франк,Swiss Franc,R01775    
30,Южноафриканский рэнд,S.African Rand,R01810    
31,Вон Республики Корея,South Korean Won,R01815    
32,Японская иена,Japanese Yen,R01820    
